Company,Ticker
China World Trade Center Company Ltd.,600007.SS
"Beijing Capital Eco-Environment Protection Group Co.,Ltd.",600008.SS
"HUA XIA BANK CO., Limited",600015.SS
"Shanghai International Port (Group) Co., Ltd",600018.SS
SHANGHAI ELECTRIC POWER COMPANY LIMITED,600021.SS
Huaneng Lancang River Hydropower Inc.,600025.SS
"Zhejiang Provincial New Energy Investment Group Co., Ltd.",600032.SS
"Sichuan Road & Bridge Group Co.,Ltd.",600039.SS
"XIAMEN XIANGYU CO., LTD.",600057.SS
"SDIC Capital Co., Ltd",600061.SS
NANJING GAOKE COMPANY LIMITED,600064.SS
"YUTONG BUS CO., LTD.",600066.SS
"Humanwell Healthcare (Group) Co.,Ltd.",600079.SS
"XIANGCAI CO.,LTD",600095.SS
"SINOLINK SECURITIES CO., LTD.",600109.SS
"Chongqing Three Gorges Water Conservancy And Electric Power Co.,Ltd.",600116.SS
"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120.SS
"Shanxi Lanhua Sci-tech Venture Co.,Ltd",600123.SS
"STATE GRID INFORMATION&COMMUNICATION CO.,LTD.",600131.SS
"HUBEI XINGFA CHEMICALS GROUP CO.,LTD.",600141.SS
XIAMEN C&D INC.,600153.SS
Beijing Tiantan Biological Products Corporation Limited,600161.SS
"SHANGHAI CONSTRUCTION GROUP CO., LTD",600170.SS
"SHANGHAI BELLING CO.,LTD.",600171.SS
"Youngor Fashion Co.,Ltd.",600177.SS
"SHENGYI TECHNOLOGY CO., LTD.",600183.SS
"SHANGHAI ZIJIANG ENTERPRISE GROUP CO.,LTD",600210.SS
TIBET RHODIOLA PHARMACEUTICAL HOLDING CO.,600211.SS
"ZHEJIANG MEDICINE CO.,LTD",600216.SS
"Lushang Freda Pharmaceutical Co., Ltd.",600223.SS
"YTO Express Group Co.,Ltd.",600233.SS
Shaanxi Construction Engineering Group Corporation Limited,600248.SS
"GUANGHUI ENERGY CO.,LTD.",600256.SS
BTG HOTELS（GROUP）CO.，LTD,600258.SS
"Zhejiang Jiahua energy chemical industry Co.,Ltd.",600273.SS
"Nanjing Iron&Steel Co.,Ltd.",600282.SS
"Shanghai Pudong Construction Co.,Ltd.",600284.SS
"Henan Lingrui Pharmaceutical Co., Ltd",600285.SS
"Inner Mongolia ERDOS Resources Co.,Ltd.",600295.SS
"JIANGXI HONGDU AVIATION INDUSTRY CO., LTD.",600316.SS
Grandblue environment company limited,600323.SS
"Zhuhai Huafa Properties Co.,LTD.",600325.SS
"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",600328.SS
TIANJIN PHARMACEUTICAL DA REN TANG GROUP CORPORATION LIMITED,600329.SS
"XIZANG ZHUFENG RESOURCES CO.,LTD.",600338.SS
"SHAN XI HUA YANG GROUP NEW ENERGY CO.,LTD.",600348.SS
Shandong Hi-speed Company Limited,600350.SS
"JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE&TECHNOLOGY CO.,LTD",600363.SS
"NINGBO YUNSHENG CO.,LTD.",600366.SS
"CHINESE UNIVERSE PUBLISHING AND MEDIA GROUP CO., LTD.",600373.SS
Jiangsu Expressway Company Limited,600377.SS
"Haohua Chemical Science & Technology Corp., Ltd.",600378.SS
"Joincare Pharmaceutical Group Industry Co.,Ltd.",600380.SS
"Nantong Jiangshan Agrochemical & Chemicals Co., Ltd.",600389.SS
Shenghe Resources Holding Co. Ltd,600392.SS
"Guizhou Panjiang Refined Coal Co.,Ltd.",600395.SS
"Tangshan Sanyou Chemical Industries Co.,Ltd",600409.SS
"KPC Pharmaceuticals, Inc.",600422.SS
"COSCO SHIPPING Specialized Carriers Co., Ltd.",600428.SS
"North Navigation Control Technology Co., Ltd.",600435.SS
"SHENZHEN KINGDOM SCI-TECH CO., LTD",600446.SS
"CHONGQING FULING ELECTRIC POWER INDUSTRIAL CO.,LTD.",600452.SS
"SINO-PLATINUM METALS CO.,LTD.",600459.SS
"Shuangliang Eco-Energy Systems Co.,Ltd",600481.SS
FUJIAN FUNENG CO.，LTD.,600483.SS
"Jiangsu Yangnong Chemical Co.,Ltd.",600486.SS
"Fiberhome Telecommunication Technologies Co.,Ltd.",600498.SS
"Keda Industrial Group Co., Ltd.",600499.SS
Anhui Construction Engineering Group Corporation Limited,600502.SS
"FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD",600507.SS
"SHANDONG PHARMACEUTICAL GLASS CO.,LTD",600529.SS
HENAN YUGUANG GOLD&LEAD CO.，LTD,600531.SS
CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED,600536.SS
"Shanxi Coal International Energy Group Co.,LTD",600546.SS
XIAMEN TUNGSTEN CORP.,600549.SS
"INMYSHOW DIGITAL TECHNOLOGY （GROUP） CO., LTD.",600556.SS
HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.，LTD.,600559.SS
GLARUN TECHNOLOGY CO．，LTD．,600562.SS
"Xiamen Faratronic Co.,LTD.",600563.SS
